team,event,game,time
X-Potatoes,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 13:05:13
X-Potatoes,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 13:05:41
X-Potatoes,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 13:06:43
Duck Gizzards,abandoned,Mutant Meeples on Ice,2020-10-26 13:17:14
The Mystery Machine,loss,Tateroids,2020-10-26 13:27:33
The Mystery Machine,loss,Kyoryuful Boyfriend,2020-10-26 13:27:44
The Mystery Machine,loss,Kyoryuful Boyfriend,2020-10-26 13:29:56
The Mystery Machine,loss,Kyoryuful Boyfriend,2020-10-26 13:32:01
The French Connection,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 13:34:26
The French Connection,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 13:34:37
cowpeabara,abandoned,Ducky Crossing: Fishing Adventure!,2020-10-26 13:44:05
Time Vultures,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 13:49:26
Time Vultures,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 13:50:59
Time Vultures,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 13:52:50
Time Vultures,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 13:55:47
Time Vultures,win_start,Ducky Crossing: Fishing Adventure!,2020-10-26 13:57:18
Duck Gizzards,abandoned,Mutant Meeples on Ice,2020-10-26 13:59:22
Duck Gizzards,abandoned,Mutant Meeples on Ice,2020-10-26 13:59:42
Time Vultures,first_win_end,Ducky Crossing: Fishing Adventure!,2020-10-26 13:59:51
Time Vultures,win_start,Ducky Crossing: Fishing Adventure!,2020-10-26 13:59:55
Time Vultures,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 14:05:15
White Maria,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 14:05:27
White Maria,loss,Codemanes,2020-10-26 14:05:40
White Maria,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 14:06:30
White Maria,loss,Codemanes,2020-10-26 14:07:44
White Maria,loss,Codemanes,2020-10-26 14:10:49
White Maria,loss,Codemanes,2020-10-26 14:13:23
White Maria,loss,Codemanes,2020-10-26 14:15:59
White Maria,win_start,Codemanes,2020-10-26 14:18:12
White Maria,first_win_end,Codemanes,2020-10-26 14:21:15
[URGENT],loss,Codemanes,2020-10-26 14:24:23
White Maria,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 14:24:24
[URGENT],loss,Codemanes,2020-10-26 14:26:47
White Maria,win_start,Ducky Crossing: Fishing Adventure!,2020-10-26 14:27:34
[URGENT],loss,Codemanes,2020-10-26 14:27:57
[URGENT],loss,Codemanes,2020-10-26 14:28:41
White Maria,first_win_end,Ducky Crossing: Fishing Adventure!,2020-10-26 14:29:15
[URGENT],loss,Codemanes,2020-10-26 14:30:40
underscore_cornered_us,abandoned,Mutant Meeples on Ice,2020-10-26 14:30:50
underscore_cornered_us,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 14:31:18
[URGENT],loss,Codemanes,2020-10-26 14:33:16
[URGENT],win_start,Codemanes,2020-10-26 14:35:17
[URGENT],first_win_end,Codemanes,2020-10-26 14:38:35
P Squad,abandoned,Ducky Crossing: Fishing Adventure!,2020-10-26 14:39:47
[URGENT],loss,Ducky Crossing: Fishing Adventure!,2020-10-26 14:39:59
[URGENT],loss,Ducky Crossing: Fishing Adventure!,2020-10-26 14:42:08
[URGENT],loss,Codemanes,2020-10-26 14:42:40
[URGENT],win_start,Ducky Crossing: Fishing Adventure!,2020-10-26 14:42:57
[URGENT],loss,Codemanes,2020-10-26 14:43:05
Ogopogo plus,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 14:43:22
Ogopogo plus,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 14:44:56
[URGENT],abandoned,Ducky Crossing: Fishing Adventure!,2020-10-26 14:44:58
Surprising!,abandoned,Codemanes,2020-10-26 15:04:24
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 15:11:33
Birthday Cardex,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 15:16:01
Birthday Cardex,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 15:16:48
Yuki,abandoned,Kyoryuful Boyfriend,2020-10-26 15:17:01
8z,abandoned,Codemanes,2020-10-26 15:18:40
Esoteric Coteries of /r/PictureGame,loss,Marineteam,2020-10-26 15:18:51
8z,loss,Codemanes,2020-10-26 15:19:21
8z,loss,Codemanes,2020-10-26 15:19:41
8z,loss,Codemanes,2020-10-26 15:21:09
8z,loss,Codemanes,2020-10-26 15:23:09
8z,loss,Codemanes,2020-10-26 15:24:35
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 15:24:49
simplicissimus,loss,Codemanes,2020-10-26 15:25:42
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 15:26:19
simplicissimus,loss,Codemanes,2020-10-26 15:26:26
simplicissimus,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 15:26:29
8z,loss,Codemanes,2020-10-26 15:26:44
simplicissimus,loss,Codemanes,2020-10-26 15:27:10
simplicissimus,loss,Codemanes,2020-10-26 15:27:32
simplicissimus,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 15:27:36
simplicissimus,abandoned,Ducky Crossing: Fishing Adventure!,2020-10-26 15:28:57
8z,loss,Codemanes,2020-10-26 15:29:28
simplicissimus,loss,Codemanes,2020-10-26 15:29:34
simplicissimus,loss,Codemanes,2020-10-26 15:29:55
Les Gaulois,abandoned,Ducky Crossing: Fishing Adventure!,2020-10-26 15:29:59
simplicissimus,loss,Codemanes,2020-10-26 15:30:35
Les Gaulois,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 15:30:40
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 15:30:41
simplicissimus,loss,Codemanes,2020-10-26 15:31:06
8z,loss,Codemanes,2020-10-26 15:31:36
simplicissimus,loss,Codemanes,2020-10-26 15:32:07
simplicissimus,loss,Codemanes,2020-10-26 15:33:21
8z,abandoned,Codemanes,2020-10-26 15:33:46
simplicissimus,loss,Codemanes,2020-10-26 15:34:03
8z,loss,Codemanes,2020-10-26 15:34:07
simplicissimus,loss,Codemanes,2020-10-26 15:36:02
Les Gaulois,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 15:36:03
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 15:36:45
simplicissimus,loss,Codemanes,2020-10-26 15:37:14
Les Gaulois,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 15:37:21
simplicissimus,loss,Codemanes,2020-10-26 15:38:29
simplicissimus,loss,Codemanes,2020-10-26 15:39:30
simplicissimus,loss,Codemanes,2020-10-26 15:40:42
simplicissimus,loss,Codemanes,2020-10-26 15:43:19
simplicissimus,loss,Codemanes,2020-10-26 15:44:04
simplicissimus,loss,Codemanes,2020-10-26 15:45:42
simplicissimus,loss,Codemanes,2020-10-26 15:46:34
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 15:47:03
underscore_cornered_us,abandoned,Mutant Meeples on Ice,2020-10-26 15:47:26
simplicissimus,loss,Codemanes,2020-10-26 15:48:42
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 15:49:45
Les Gaulois,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 15:50:19
simplicissimus,loss,Codemanes,2020-10-26 15:50:25
simplicissimus,win_start,Codemanes,2020-10-26 15:51:50
simplicissimus,first_win_end,Codemanes,2020-10-26 15:54:39
Birthday Cardex,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 15:57:41
Birthday Cardex,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 15:58:26
Birthday Cardex,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 15:59:01
8z,loss,Codemanes,2020-10-26 15:59:02
Birthday Cardex,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 15:59:30
Birthday Cardex,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 15:59:58
Birthday Cardex,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 16:01:38
Birthday Cardex,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 16:02:13
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 16:08:08
Birthday Cardex,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 16:08:59
Birthday Cardex,abandoned,Ducky Crossing: Fishing Adventure!,2020-10-26 16:10:41
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 16:11:27
Birthday Cardex,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 16:11:48
Yuki,abandoned,Kyoryuful Boyfriend,2020-10-26 16:16:31
Birthday Cardex,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 16:17:11
Yuki,abandoned,Kyoryuful Boyfriend,2020-10-26 16:17:59
Yuki,abandoned,Kyoryuful Boyfriend,2020-10-26 16:18:05
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 16:20:02
Birthday Cardex,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 16:20:32
Birthday Cardex,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 16:23:00
Birthday Cardex,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 16:23:35
Birthday Cardex,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 16:24:50
Birthday Cardex,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 16:26:16
Dank Poets Society,abandoned,Kyoryuful Boyfriend,2020-10-26 16:26:53
Birthday Cardex,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 16:28:48
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 16:29:22
Ski Nautique,loss,Tateroids,2020-10-26 16:30:58
Les Gaulois,abandoned,Ducky Crossing: Fishing Adventure!,2020-10-26 16:31:20
Birthday Cardex,win_start,Ducky Crossing: Fishing Adventure!,2020-10-26 16:31:23
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 16:31:55
Birthday Cardex,first_win_end,Ducky Crossing: Fishing Adventure!,2020-10-26 16:33:55
Yuki,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 16:34:52
Yuki,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 16:35:36
Yuki,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 16:36:08
Yuki,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 16:36:36
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 16:40:43
The C@r@line Syzygy,abandoned,Mutant Meeples on Ice,2020-10-26 16:43:01
Esoteric Coteries of /r/PictureGame,abandoned,Kyoryuful Boyfriend,2020-10-26 16:44:02
Yuki,abandoned,Kyoryuful Boyfriend,2020-10-26 16:46:11
Yuki,loss,Codemanes,2020-10-26 16:46:18
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 16:47:14
Yuki,loss,Codemanes,2020-10-26 16:47:16
Yuki,loss,Codemanes,2020-10-26 16:48:20
Yuki,loss,Codemanes,2020-10-26 16:48:39
All the Toms (pronounced plugh),abandoned,Mutant Meeples on Ice,2020-10-26 16:49:35
Yuki,loss,Tateroids,2020-10-26 16:50:06
The Mystery Machine,loss,Tateroids,2020-10-26 16:53:06
Yuki,win_start,Kyoryuful Boyfriend,2020-10-26 16:55:25
Flower Power,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 16:55:40
Flower Power,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 16:56:08
The Mystery Machine,loss,Tateroids,2020-10-26 16:56:37
Flower Power,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 16:56:48
Flower Power,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 16:57:52
Flower Power,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 16:58:19
Flower Power,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 16:58:45
The Mystery Machine,abandoned,Tateroids,2020-10-26 16:59:00
Yuki,first_win_end,Kyoryuful Boyfriend,2020-10-26 16:59:02
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 16:59:04
The C@r@line Syzygy,abandoned,Marineteam,2020-10-26 17:02:50
The C@r@line Syzygy,loss,Marineteam,2020-10-26 17:03:25
The Mystery Machine,abandoned,Kyoryuful Boyfriend,2020-10-26 17:04:28
The C@r@line Syzygy,abandoned,Marineteam,2020-10-26 17:07:02
The Mystery Machine,loss,Marineteam,2020-10-26 17:07:30
The C@r@line Syzygy,win_start,Marineteam,2020-10-26 17:07:32
The Mystery Machine,loss,Marineteam,2020-10-26 17:08:19
The Mystery Machine,loss,Marineteam,2020-10-26 17:09:37
The Mystery Machine,loss,Marineteam,2020-10-26 17:10:41
The Mystery Machine,loss,Marineteam,2020-10-26 17:11:49
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 17:12:19
The C@r@line Syzygy,first_win_end,Marineteam,2020-10-26 17:12:20
The Mystery Machine,loss,Marineteam,2020-10-26 17:12:39
The C@r@line Syzygy,abandoned,Mutant Meeples on Ice,2020-10-26 17:13:39
All the Toms (pronounced plugh),abandoned,Mutant Meeples on Ice,2020-10-26 17:15:04
All the Toms (pronounced plugh),abandoned,Mutant Meeples on Ice,2020-10-26 17:15:30
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 17:15:48
Esoteric Coteries of /r/PictureGame,abandoned,Marineteam,2020-10-26 17:16:22
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 17:16:46
The C@r@line Syzygy,win_start,Mutant Meeples on Ice,2020-10-26 17:17:04
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 17:17:56
Esoteric Coteries of /r/PictureGame,loss,Marineteam,2020-10-26 17:18:11
The Mystery Machine,abandoned,Marineteam,2020-10-26 17:19:21
The Mystery Machine,loss,Marineteam,2020-10-26 17:20:05
Duck Gizzards,abandoned,Mutant Meeples on Ice,2020-10-26 17:20:20
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 17:20:48
The Mystery Machine,loss,Marineteam,2020-10-26 17:21:11
Happy Birthday To Plugh,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 17:21:44
Esoteric Coteries of /r/PictureGame,abandoned,Marineteam,2020-10-26 17:22:32
Esoteric Coteries of /r/PictureGame,win_start,Marineteam,2020-10-26 17:22:51
All the Toms (pronounced plugh),abandoned,Mutant Meeples on Ice,2020-10-26 17:22:52
The Mystery Machine,loss,Marineteam,2020-10-26 17:23:05
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 17:24:25
The Mystery Machine,loss,Marineteam,2020-10-26 17:24:26
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 17:26:31
Esoteric Coteries of /r/PictureGame,first_win_end,Marineteam,2020-10-26 17:26:41
Esoteric Coteries of /r/PictureGame,loss,Tateroids,2020-10-26 17:27:34
Esoteric Coteries of /r/PictureGame,abandoned,Marineteam,2020-10-26 17:27:41
The Mystery Machine,abandoned,Marineteam,2020-10-26 17:28:33
The Mystery Machine,win_start,Marineteam,2020-10-26 17:29:16
The Blob Wizards,abandoned,Mahjong Madness,2020-10-26 17:29:43
Esoteric Coteries of /r/PictureGame,loss,Codemanes,2020-10-26 17:29:53
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 17:30:03
All the Toms (pronounced plugh),abandoned,Mutant Meeples on Ice,2020-10-26 17:31:42
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 17:32:02
All the Toms (pronounced plugh),win_start,Mutant Meeples on Ice,2020-10-26 17:32:29
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 17:34:01
The Mystery Machine,first_win_end,Marineteam,2020-10-26 17:34:19
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 17:35:37
The Mystery Machine,abandoned,Kyoryuful Boyfriend,2020-10-26 17:36:17
The Mystery Machine,loss,Kyoryuful Boyfriend,2020-10-26 17:36:41
The Mystery Machine,abandoned,Kyoryuful Boyfriend,2020-10-26 17:39:01
The Blob Wizards,abandoned,Mahjong Madness,2020-10-26 17:39:26
The Blob Wizards,abandoned,Mahjong Madness,2020-10-26 17:39:40
The Mystery Machine,loss,Kyoryuful Boyfriend,2020-10-26 17:40:47
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 17:41:28
The Mystery Machine,abandoned,Kyoryuful Boyfriend,2020-10-26 17:43:19
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 17:44:34
The Judean GNUs,abandoned,Mahjong Madness,2020-10-26 17:44:48
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 17:47:46
The C@r@line Syzygy,first_win_end,Mutant Meeples on Ice,2020-10-26 17:48:17
The One and Only,loss,Codemanes,2020-10-26 17:49:33
The Mystery Machine,abandoned,Kyoryuful Boyfriend,2020-10-26 17:49:41
Totally Sus Birthday Invitation,loss,Tateroids,2020-10-26 17:49:52
The One and Only,loss,Codemanes,2020-10-26 17:49:58
The One and Only,loss,Codemanes,2020-10-26 17:50:18
8z,loss,Codemanes,2020-10-26 17:50:38
The One and Only,loss,Codemanes,2020-10-26 17:51:43
Yuki,abandoned,Kyoryuful Boyfriend,2020-10-26 17:51:52
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 17:52:33
The One and Only,loss,Codemanes,2020-10-26 17:53:04
The Judean GNUs,abandoned,Mahjong Madness,2020-10-26 17:53:10
The C@r@line Syzygy,abandoned,Mutant Meeples on Ice,2020-10-26 17:53:10
The Mystery Machine,abandoned,Kyoryuful Boyfriend,2020-10-26 17:53:43
The One and Only,loss,Codemanes,2020-10-26 17:55:26
The One and Only,loss,Codemanes,2020-10-26 17:57:38
Duck Gizzards,abandoned,Mutant Meeples on Ice,2020-10-26 17:58:27
The One and Only,loss,Codemanes,2020-10-26 17:58:29
weareyoung,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 17:58:49
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 17:58:51
The C@r@line Syzygy,loss,Kyoryuful Boyfriend,2020-10-26 17:59:38
weareyoung,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 18:00:29
weareyoung,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 18:00:51
Duck Gizzards,abandoned,Mutant Meeples on Ice,2020-10-26 18:00:56
weareyoung,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 18:01:20
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 18:02:33
weareyoung,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 18:02:42
The C@r@line Syzygy,win_start,Kyoryuful Boyfriend,2020-10-26 18:03:31
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 18:04:23
weareyoung,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 18:04:28
Yuki,loss,Kyoryuful Boyfriend,2020-10-26 18:05:38
weareyoung,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 18:05:49
Yuki,abandoned,Kyoryuful Boyfriend,2020-10-26 18:06:50
Yuki,win_start,Kyoryuful Boyfriend,2020-10-26 18:07:09
Yuki,abandoned,Kyoryuful Boyfriend,2020-10-26 18:08:08
weareyoung,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 18:08:25
Just for the Halibut,win_start,Mutant Meeples on Ice,2020-10-26 18:08:35
8z,loss,Codemanes,2020-10-26 18:08:55
Just for the Halibut,abandoned,Marineteam,2020-10-26 18:09:08
weareyoung,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 18:09:31
weareyoung,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 18:10:36
weareyoung,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 18:11:23
The C@r@line Syzygy,first_win_end,Kyoryuful Boyfriend,2020-10-26 18:11:54
The C@r@line Syzygy,abandoned,Kyoryuful Boyfriend,2020-10-26 18:11:56
Banana vs. Air,loss,Barbie's Murder Party at House on the Hill,2020-10-26 18:12:20
8z,loss,Codemanes,2020-10-26 18:12:54
6 Imposters at a Birthday Party,loss,Codemanes,2020-10-26 18:13:00
Banana vs. Air,loss,Barbie's Murder Party at House on the Hill,2020-10-26 18:13:27
weareyoung,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 18:14:03
6 Imposters at a Birthday Party,loss,Codemanes,2020-10-26 18:14:19
Banana vs. Air,loss,Barbie's Murder Party at House on the Hill,2020-10-26 18:14:28
weareyoung,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 18:15:25
8z,loss,Codemanes,2020-10-26 18:15:33
6 Imposters at a Birthday Party,loss,Codemanes,2020-10-26 18:15:41
8z,loss,Codemanes,2020-10-26 18:17:31
Banana vs. Air,loss,Barbie's Murder Party at House on the Hill,2020-10-26 18:17:51
Party B,abandoned,Mahjong Madness,2020-10-26 18:18:03
6 Imposters at a Birthday Party,loss,Codemanes,2020-10-26 18:18:19
8z,loss,Codemanes,2020-10-26 18:19:01
Banana vs. Air,abandoned,Mahjong Madness,2020-10-26 18:19:30
6 Imposters at a Birthday Party,loss,Codemanes,2020-10-26 18:19:39
8z,win_start,Codemanes,2020-10-26 18:20:03
6 Imposters at a Birthday Party,loss,Codemanes,2020-10-26 18:21:09
Duck Gizzards,abandoned,Mutant Meeples on Ice,2020-10-26 18:21:23
6 Imposters at a Birthday Party,loss,Codemanes,2020-10-26 18:22:59
8z,first_win_end,Codemanes,2020-10-26 18:23:30
6 Imposters at a Birthday Party,loss,Codemanes,2020-10-26 18:24:37
8z,loss,Codemanes,2020-10-26 18:24:44
6 Imposters at a Birthday Party,loss,Codemanes,2020-10-26 18:26:34
Dank Poets Society,abandoned,Kyoryuful Boyfriend,2020-10-26 18:26:49
The Judean GNUs,win_start,Mahjong Madness,2020-10-26 18:27:32
6 Imposters at a Birthday Party,loss,Codemanes,2020-10-26 18:28:23
6 Imposters at a Birthday Party,loss,Codemanes,2020-10-26 18:29:21
nevaeva,loss,Kyoryuful Boyfriend,2020-10-26 18:30:25
6 Imposters at a Birthday Party,loss,Codemanes,2020-10-26 18:31:01
Scott's Puzzle Birthday,win_start,Mutant Meeples on Ice,2020-10-26 18:32:28
Ski Nautique,loss,Tateroids,2020-10-26 18:32:29
6 Imposters at a Birthday Party,loss,Codemanes,2020-10-26 18:33:19
Ski Nautique,abandoned,Tateroids,2020-10-26 18:33:19
Ski Nautique,loss,Tateroids,2020-10-26 18:33:33
nevaeva,loss,Kyoryuful Boyfriend,2020-10-26 18:34:02
Ski Nautique,loss,Tateroids,2020-10-26 18:35:03
6 Imposters at a Birthday Party,win_start,Codemanes,2020-10-26 18:35:38
Scott's Puzzle Birthday,first_win_end,Mutant Meeples on Ice,2020-10-26 18:36:54
nevaeva,loss,Kyoryuful Boyfriend,2020-10-26 18:37:13
nevaeva,loss,Marineteam,2020-10-26 18:37:26
6 Imposters at a Birthday Party,first_win_end,Codemanes,2020-10-26 18:38:23
Matt and Emma (no really!),loss,Tateroids,2020-10-26 18:39:04
nevaeva,loss,Marineteam,2020-10-26 18:39:28
nevaeva,abandoned,Mutant Meeples on Ice,2020-10-26 18:39:34
Matt and Emma (no really!),abandoned,Tateroids,2020-10-26 18:40:07
Ski Nautique,loss,Tateroids,2020-10-26 18:41:12
6 Imposters at a Birthday Party,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 18:42:30
Am a Llama.  AMA.,loss,Tateroids,2020-10-26 18:43:19
6 Imposters at a Birthday Party,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 18:43:31
All the Toms (pronounced plugh),first_win_end,Mutant Meeples on Ice,2020-10-26 18:44:01
Am a Llama.  AMA.,abandoned,Tateroids,2020-10-26 18:44:18
6 Imposters at a Birthday Party,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 18:45:09
Ski Nautique,loss,Tateroids,2020-10-26 18:45:37
6 Imposters at a Birthday Party,win_start,Ducky Crossing: Fishing Adventure!,2020-10-26 18:46:06
Ski Nautique,abandoned,Tateroids,2020-10-26 18:46:40
Duck Gizzards,abandoned,Mahjong Madness,2020-10-26 18:47:04
6 Imposters at a Birthday Party,first_win_end,Ducky Crossing: Fishing Adventure!,2020-10-26 18:48:42
The Mystery Machine,loss,Kyoryuful Boyfriend,2020-10-26 18:56:39
The Mystery Machine,loss,Kyoryuful Boyfriend,2020-10-26 19:00:10
The Judean GNUs,first_win_end,Mahjong Madness,2020-10-26 19:02:42
The Judean GNUs,abandoned,Mahjong Madness,2020-10-26 19:03:46
The One and Only,loss,Codemanes,2020-10-26 19:10:39
The One and Only,loss,Codemanes,2020-10-26 19:11:34
The Mystery Machine,loss,Kyoryuful Boyfriend,2020-10-26 19:12:20
Potato,abandoned,Ducky Crossing: Fishing Adventure!,2020-10-26 19:12:44
The One and Only,loss,Codemanes,2020-10-26 19:13:27
nevaeva,abandoned,Mutant Meeples on Ice,2020-10-26 19:14:06
The One and Only,loss,Codemanes,2020-10-26 19:14:57
The Mystery Machine,loss,Kyoryuful Boyfriend,2020-10-26 19:15:33
Time Vultures,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 19:17:18
The Mystery Machine,abandoned,Kyoryuful Boyfriend,2020-10-26 19:17:39
The Mystery Machine,abandoned,Kyoryuful Boyfriend,2020-10-26 19:18:04
The Mystery Machine,loss,Kyoryuful Boyfriend,2020-10-26 19:18:10
Time Vultures,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 19:19:39
Time Vultures,win_start,Ducky Crossing: Fishing Adventure!,2020-10-26 19:21:54
The Mystery Machine,loss,Kyoryuful Boyfriend,2020-10-26 19:22:12
Time Vultures,win_start,Ducky Crossing: Fishing Adventure!,2020-10-26 19:24:13
The Mystery Machine,loss,Kyoryuful Boyfriend,2020-10-26 19:25:37
Time Vultures,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 19:26:43
The Mystery Machine,abandoned,Kyoryuful Boyfriend,2020-10-26 19:27:08
The Mystery Machine,loss,Kyoryuful Boyfriend,2020-10-26 19:27:27
Time Vultures,win_start,Ducky Crossing: Fishing Adventure!,2020-10-26 19:28:06
The Mystery Machine,loss,Kyoryuful Boyfriend,2020-10-26 19:29:10
Totally Sus Birthday Invitation,loss,Kyoryuful Boyfriend,2020-10-26 19:29:52
The Mystery Machine,loss,Kyoryuful Boyfriend,2020-10-26 19:30:32
Time Vultures,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 19:30:32
The Mystery Machine,win_start,Kyoryuful Boyfriend,2020-10-26 19:33:36
Time Vultures,win_start,Ducky Crossing: Fishing Adventure!,2020-10-26 19:34:25
Belmonsters,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 19:34:37
The Mystery Machine,first_win_end,Kyoryuful Boyfriend,2020-10-26 19:35:48
The Mystery Machine,loss,Kyoryuful Boyfriend,2020-10-26 19:35:49
Time Vultures,loss,Ducky Crossing: Fishing Adventure!,2020-10-26 19:36:45
The Mystery Machine,abandoned,Kyoryuful Boyfriend,2020-10-26 19:36:58
Time Vultures,win_start,Ducky Crossing: Fishing Adventure!,2020-10-26 19:37:13
The Mystery Machine,loss,Kyoryuful Boyfriend,2020-10-26 19:37:15
Just for the Halibut,first_win_end,Mutant Meeples on Ice,2020-10-26 19:38:18
The Mystery Machine,loss,Kyoryuful Boyfriend,2020-10-26 19:38:27
Duck Gizzards,abandoned,Mutant Meeples on Ice,2020-10-26 19:39:00
Time Vultures,win_start,Ducky Crossing: Fishing Adventure!,2020-10-26 19:39:22
Magpie,loss,Codemanes,2020-10-26 19:39:39
Magpie,loss,Codemanes,2020-10-26 19:40:21
Magpie,loss,Codemanes,2020-10-26 19:40:55
Magpie,abandoned,Codemanes,2020-10-26 19:41:17
The Mystery Machine,abandoned,Kyoryuful Boyfriend,2020-10-26 19:41:29
Just for the Halibut,abandoned,Mutant Meeples on Ice,2020-10-26 19:41:29
Magpie,loss,Codemanes,2020-10-26 19:41:29
Magpie,loss,Codemanes,2020-10-26 19:41:57
Magpie,loss,Codemanes,2020-10-26 19:42:48
Time Vultures,win_start,Ducky Crossing: Fishing Adventure!,2020-10-26 19:42:50
